dataset,network,model,opt_out,step,metric,mean,std,n_valid_seeds
Base,Erdős–Rényi,Baseline,False,5,approval_rate_difference,3.9200000000000017,3.4002352859765455,5
Base,Erdős–Rényi,Baseline,False,5,retention_disparity,0,0,5
Base,Erdős–Rényi,Baseline,False,5,retention_s0,100,0,5
Base,Erdős–Rényi,Baseline,False,5,retention_s1,100,0,5
Base,Erdős–Rényi,Baseline,False,5,unfairness,0.0061238662040254081,0.00080710043520660117,5
Base,Erdős–Rényi,Baseline,True,1,approval_rate_difference,3.7199999999999989,3.243701589234127,5
Base,Erdős–Rényi,Baseline,True,1,retention_disparity,0,0,5
Base,Erdős–Rényi,Baseline,True,1,retention_s0,100,0,5
Base,Erdős–Rényi,Baseline,True,1,retention_s1,100,0,5
Base,Erdős–Rényi,Baseline,True,1,unfairness,0.0062788929026658113,0,5
Base,Erdős–Rényi,Baseline,True,2,approval_rate_difference,3.6123436578933932,3.1336495323376896,5
Base,Erdős–Rényi,Baseline,True,2,retention_disparity,4.4400000000000066,3.6164070567346309,5
Base,Erdős–Rényi,Baseline,True,2,retention_s0,79.599999999999994,2.536138797463575,5
Base,Erdős–Rényi,Baseline,True,2,retention_s1,75.159999999999997,2.6695317941541785,5
Base,Erdős–Rényi,Baseline,True,2,unfairness,0.0062504111905139492,0.00042936953724440752,5
Base,Erdős–Rényi,Baseline,True,3,approval_rate_difference,6.0739394791577146,4.3610014117727021,5
Base,Erdős–Rényi,Baseline,True,3,retention_disparity,6.7199999999999989,3.924487227651527,5
Base,Erdős–Rényi,Baseline,True,3,retention_s0,62.279999999999994,2.5158696309626225,5
Base,Erdős–Rényi,Baseline,True,3,retention_s1,55.560000000000002,1.9489484344127701,5
Base,Erdős–Rényi,Baseline,True,3,unfairness,0.0063642641827203802,0.00055106307127512563,5
Base,Erdős–Rényi,Baseline,True,4,approval_rate_difference,2.5939042786912574,4.2036152321882536,5
