run_id,dataset,model,opt_out,seed,graph_seed,source,step,group,metric,statistic,value,unit,steps,enforce_demographic_mixing,k_same,k_other,directed,decision_coef,repayment_coef,eps,base_s0,base_s1,test_n,test_initialization_seed,n_seeds,seeds,std_ddof,network,training_network,evaluation_network,n_valid_seeds,fairness_denominator_clip,decision_policy,fairness_policy
20260917T170632_004886Z_9d3261,Base,Baseline,True,42,42,diagnostic_probability_policy_repayment_labels,4,all,long_fairness,value,0.0052389479829341168,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,42,42,diagnostic_probability_policy_repayment_labels,5,all,accuracy,value,0.54800000000000004,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,42,42,diagnostic_probability_policy_repayment_labels,5,all,short_fairness,value,0.027112973766811321,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,42,42,diagnostic_probability_policy_repayment_labels,5,all,long_fairness,value,0.0060346184154845828,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,99,99,diagnostic_probability_policy_repayment_labels,1,all,accuracy,value,0.61599999999999999,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,99,99,diagnostic_probability_policy_repayment_labels,1,all,short_fairness,value,0.027117587361472295,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,99,99,diagnostic_probability_policy_repayment_labels,1,all,long_fairness,value,0.0064928992551834819,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,99,99,diagnostic_probability_policy_repayment_labels,2,all,accuracy,value,0.59199999999999997,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,99,99,diagnostic_probability_policy_repayment_labels,2,all,short_fairness,value,0.027114588975337695,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,99,99,diagnostic_probability_policy_repayment_labels,2,all,long_fairness,value,0.0056584671168043998,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
