dataset,network,model,training_network,evaluation_network,seed,graph_seed,opt_out,step,unfairness,retention_s0,retention_s1,retention_disparity,approval_rate_difference,average_retention_disparity
Base,Erdős–Rényi,DP,Erdős–Rényi,Erdős–Rényi,13,13,False,5,0.0071747114778586418,100,100,0,8.7999999999999972,0
Base,Erdős–Rényi,Baseline,Erdős–Rényi,Erdős–Rényi,42,42,True,5,0.0059304042020807968,40.600000000000001,30.800000000000001,9.8000000000000007,2.8660994178235533,4.8000000000000052
Base,Erdős–Rényi,Baseline,Erdős–Rényi,Erdős–Rényi,42,42,False,5,0.005670435878962099,100,100,0,-1.8000000000000016,0
Base,Erdős–Rényi,LCF-original,Erdős–Rényi,Erdős–Rényi,42,42,True,5,0.0045210976773023548,34.799999999999997,14.000000000000002,20.799999999999997,12.939244663382599,18.699999999999999
Base,Erdős–Rényi,LCF-original,Erdős–Rényi,Erdős–Rényi,42,42,False,5,0.0044822292845977385,100,100,0,12.800000000000001,0
Base,Erdős–Rényi,LCF-active,Erdős–Rényi,Erdős–Rényi,42,42,True,5,0.0029348913759277284,38.800000000000004,15.800000000000001,23.000000000000004,12.299360563747886,19.200000000000003
Base,Erdős–Rényi,LCF-active,Erdős–Rényi,Erdős–Rényi,42,42,False,5,0.0028110414939755968,100,100,0,8.9999999999999964,0
Base,Erdős–Rényi,EO,Erdős–Rényi,Erdős–Rényi,42,42,True,5,0.0058651215792863143,37.600000000000001,32.600000000000001,5,0.23169299047122172,3.8499999999999961
Base,Erdős–Rényi,EO,Erdős–Rényi,Erdős–Rényi,42,42,False,5,0.0055589252930126065,100,100,0,-2.6000000000000023,0
Base,Erdős–Rényi,DP,Erdős–Rényi,Erdős–Rényi,42,42,True,5,0.0059029948562435708,40.600000000000001,30.800000000000001,9.8000000000000007,2.8660994178235533,4.8000000000000052
Base,Erdős–Rényi,DP,Erdős–Rényi,Erdős–Rényi,42,42,False,5,0.005639863232000164,100,100,0,-1.8000000000000016,0
Base,Erdős–Rényi,Baseline,Erdős–Rényi,Erdős–Rényi,99,99,True,5,0.005215040848835506,38.800000000000004,31.600000000000001,7.2000000000000028,11.24233328983426,4.1500000000000021
Base,Erdős–Rényi,Baseline,Erdős–Rényi,Erdős–Rényi,99,99,False,5,0.0049521492320918625,100,100,0,4.0000000000000036,0
Base,Erdős–Rényi,LCF-original,Erdős–Rényi,Erdős–Rényi,99,99,True,5,0.0041884260268466589,35.399999999999999,14.000000000000002,21.399999999999999,18.991121872477812,21.850000000000001
Base,Erdős–Rényi,LCF-original,Erdős–Rényi,Erdős–Rényi,99,99,False,5,0.0041961330083131188,100,100,0,13.4,0
Base,Erdős–Rényi,LCF-active,Erdős–Rényi,Erdős–Rényi,99,99,True,5,0.0027519457650746482,37.799999999999997,15.6,22.199999999999996,19.678469678469675,20.749999999999996
Base,Erdős–Rényi,LCF-active,Erdős–Rényi,Erdős–Rényi,99,99,False,5,0.0027484293641705237,100,100,0,13.200000000000001,0
Base,Erdős–Rényi,EO,Erdős–Rényi,Erdős–Rényi,99,99,True,5,0.0053272275689825177,36.199999999999996,33.200000000000003,2.9999999999999929,7.664913798841777,2.4000000000000004
Base,Erdős–Rényi,EO,Erdős–Rényi,Erdős–Rényi,99,99,False,5,0.0049246165269459796,100,100,0,1.8000000000000016,0
Base,Erdős–Rényi,DP,Erdős–Rényi,Erdős–Rényi,99,99,True,5,0.0052370594238664303,38.800000000000004,31.600000000000001,7.2000000000000028,10.609421897429206,4.1500000000000021
Base,Erdős–Rényi,DP,Erdős–Rényi,Erdős–Rényi,99,99,False,5,0.0049462184385776764,100,100,0,3.8000000000000034,0
Base,Watts–Strogatz,Baseline,Watts–Strogatz,Watts–Strogatz,2026,2026,True,5,0.0062237110138053664,38.200000000000003,33.200000000000003,5,3.2391345486658674,9.2000000000000011
Base,Watts–Strogatz,Baseline,Watts–Strogatz,Watts–Strogatz,2026,2026,False,5,0.0068830129099756165,100,100,0,4.0000000000000036,0
Base,Watts–Strogatz,LCF-original,Watts–Strogatz,Watts–Strogatz,2026,2026,True,5,0.0041341126445305632,36,12.6,23.399999999999999,17.777777777777782,24.600000000000001
Base,Watts–Strogatz,LCF-original,Watts–Strogatz,Watts–Strogatz,2026,2026,False,5,0.0049129038598142438,100,100,0,13.4,0
Base,Watts–Strogatz,LCF-active,Watts–Strogatz,Watts–Strogatz,2026,2026,True,5,0.0037747200908467837,38.800000000000004,13.800000000000001,25.000000000000004,21.985656656207979,25.199999999999999
Base,Watts–Strogatz,LCF-active,Watts–Strogatz,Watts–Strogatz,2026,2026,False,5,0.004459256135989853,100,100,0,15.000000000000002,0
Base,Watts–Strogatz,EO,Watts–Strogatz,Watts–Strogatz,2026,2026,True,5,0.0060855603791353241,36.199999999999996,34.399999999999999,1.7999999999999972,4.6126172427084722,6.4499999999999993
Base,Watts–Strogatz,EO,Watts–Strogatz,Watts–Strogatz,2026,2026,False,5,0.0067552246063333765,100,100,0,1.2000000000000011,0
Base,Watts–Strogatz,DP,Watts–Strogatz,Watts–Strogatz,2026,2026,True,5,0.0062305779266661476,38.200000000000003,33.200000000000003,5,3.2391345486658674,9.2500000000000018
Base,Watts–Strogatz,DP,Watts–Strogatz,Watts–Strogatz,2026,2026,False,5,0.0068821586268936752,100,100,0,4.0000000000000036,0
Base,Watts–Strogatz,Baseline,Watts–Strogatz,Watts–Strogatz,7,7,True,5,0.006054218241779652,42.799999999999997,35.199999999999996,7.6000000000000014,10.407816482582843,7.5500000000000025
Base,Watts–Strogatz,Baseline,Watts–Strogatz,Watts–Strogatz,7,7,False,5,0.0059788295243203837,100,100,0,5.4000000000000048,0
Base,Watts–Strogatz,LCF-original,Watts–Strogatz,Watts–Strogatz,7,7,True,5,0.0041858151630888019,35.799999999999997,17.599999999999998,18.199999999999999,18.346876587100049,19.699999999999996
Base,Watts–Strogatz,LCF-original,Watts–Strogatz,Watts–Strogatz,7,7,False,5,0.0041795902821873954,100,100,0,15.999999999999998,0
Base,Watts–Strogatz,LCF-active,Watts–Strogatz,Watts–Strogatz,7,7,True,5,0.0039049715907107929,38.800000000000004,18.199999999999999,20.600000000000005,19.78588421887391,21.399999999999999
Base,Watts–Strogatz,LCF-active,Watts–Strogatz,Watts–Strogatz,7,7,False,5,0.0038606003551513446,100,100,0,17,0
Base,Watts–Strogatz,EO,Watts–Strogatz,Watts–Strogatz,7,7,True,5,0.0062054981984870361,41.199999999999996,37.399999999999999,3.7999999999999972,5.9368672446913457,3.9999999999999964
Base,Watts–Strogatz,EO,Watts–Strogatz,Watts–Strogatz,7,7,False,5,0.0058689604980265431,100,100,0,2.8000000000000025,0
Base,Watts–Strogatz,DP,Watts–Strogatz,Watts–Strogatz,7,7,True,5,0.0060493608561251744,42.799999999999997,35.199999999999996,7.6000000000000014,10.407816482582843,7.5500000000000025
Base,Watts–Strogatz,DP,Watts–Strogatz,Watts–Strogatz,7,7,False,5,0.0059720831887839498,100,100,0,5.600000000000005,0
Base,Watts–Strogatz,Baseline,Watts–Strogatz,Watts–Strogatz,13,13,True,5,0.0064285787319486865,39.399999999999999,25.199999999999999,14.199999999999999,9.00410925791636,15.800000000000001
Base,Watts–Strogatz,Baseline,Watts–Strogatz,Watts–Strogatz,13,13,False,5,0.0072807795158257305,100,100,0,9.3999999999999968,0
Base,Watts–Strogatz,LCF-original,Watts–Strogatz,Watts–Strogatz,13,13,True,5,0.0045174450227492002,32.399999999999999,14.199999999999999,18.199999999999999,25.473830638149884,21.149999999999999
Base,Watts–Strogatz,LCF-original,Watts–Strogatz,Watts–Strogatz,13,13,False,5,0.0051902930098921551,100,100,0,19.600000000000001,0
Base,Watts–Strogatz,LCF-active,Watts–Strogatz,Watts–Strogatz,13,13,True,5,0.0040821750235167098,35.199999999999996,15.4,19.799999999999997,22.727272727272723,22.25
Base,Watts–Strogatz,LCF-active,Watts–Strogatz,Watts–Strogatz,13,13,False,5,0.0046947999728962353,100,100,0,19.200000000000006,0
Base,Watts–Strogatz,EO,Watts–Strogatz,Watts–Strogatz,13,13,True,5,0.0064425890724714163,36.399999999999999,26.200000000000003,10.199999999999996,6.5137152923412494,11.599999999999998
Base,Watts–Strogatz,EO,Watts–Strogatz,Watts–Strogatz,13,13,False,5,0.0071064417972751537,100,100,0,7.399999999999995,0
Base,Watts–Strogatz,DP,Watts–Strogatz,Watts–Strogatz,13,13,True,5,0.0064447010277625116,39.399999999999999,25.199999999999999,14.199999999999999,9.00410925791636,15.800000000000001
Base,Watts–Strogatz,DP,Watts–Strogatz,Watts–Strogatz,13,13,False,5,0.0072865641950708993,100,100,0,9.3999999999999968,0
Base,Watts–Strogatz,Baseline,Watts–Strogatz,Watts–Strogatz,42,42,True,5,0.0063694464039204535,39.399999999999999,30.800000000000001,8.5999999999999979,2.6369569516777602,6.1999999999999931
Base,Watts–Strogatz,Baseline,Watts–Strogatz,Watts–Strogatz,42,42,False,5,0.0057525666836162337,100,100,0,-1.8000000000000016,0
Base,Watts–Strogatz,LCF-original,Watts–Strogatz,Watts–Strogatz,42,42,True,5,0.0044157217744751343,35.600000000000001,15.199999999999999,20.400000000000002,14.606741573033711,20
Base,Watts–Strogatz,LCF-original,Watts–Strogatz,Watts–Strogatz,42,42,False,5,0.0041638909569132743,100,100,0,12.4,0
Base,Watts–Strogatz,LCF-active,Watts–Strogatz,Watts–Strogatz,42,42,True,5,0.0041394285423181909,38.800000000000004,17.199999999999999,21.600000000000005,14.301126828098775,19.949999999999999
Base,Watts–Strogatz,LCF-active,Watts–Strogatz,Watts–Strogatz,42,42,False,5,0.0037307576945164733,100,100,0,10.599999999999998,0
Base,Watts–Strogatz,EO,Watts–Strogatz,Watts–Strogatz,42,42,True,5,0.0062440829225612893,36.799999999999997,33.399999999999999,3.3999999999999986,5.6593335068992445,3.1499999999999968
Base,Watts–Strogatz,EO,Watts–Strogatz,Watts–Strogatz,42,42,False,5,0.0056522626165328438,100,100,0,-2.4000000000000021,0
Base,Watts–Strogatz,DP,Watts–Strogatz,Watts–Strogatz,42,42,True,5,0.0063427428568256783,39.399999999999999,30.800000000000001,8.5999999999999979,3.1445711648757313,5.9999999999999938
Base,Watts–Strogatz,DP,Watts–Strogatz,Watts–Strogatz,42,42,False,5,0.0057482848210492765,100,100,0,-1.8000000000000016,0
Base,Watts–Strogatz,Baseline,Watts–Strogatz,Watts–Strogatz,99,99,True,5,0.0053219206218392268,39.600000000000001,29.399999999999999,10.200000000000003,10.533910533910539,6.0000000000000018
Base,Watts–Strogatz,Baseline,Watts–Strogatz,Watts–Strogatz,99,99,False,5,0.0048819972123362865,100,100,0,4.6000000000000041,0
Base,Watts–Strogatz,LCF-original,Watts–Strogatz,Watts–Strogatz,99,99,True,5,0.0039969994833330968,33,12.800000000000001,20.199999999999999,16.856060606060609,22.099999999999998
Base,Watts–Strogatz,LCF-original,Watts–Strogatz,Watts–Strogatz,99,99,False,5,0.0038308347087898653,100,100,0,13.200000000000001,0
Base,Watts–Strogatz,LCF-active,Watts–Strogatz,Watts–Strogatz,99,99,True,5,0.0036394983412891824,36.399999999999999,15.4,21,21.978021978021982,20.099999999999998
Base,Watts–Strogatz,LCF-active,Watts–Strogatz,Watts–Strogatz,99,99,False,5,0.0036077085281562837,100,100,0,13,0
Base,Watts–Strogatz,EO,Watts–Strogatz,Watts–Strogatz,99,99,True,5,0.0052378417997553939,36.799999999999997,32.600000000000001,4.1999999999999957,4.6212323286209607,3.9499999999999993
Base,Watts–Strogatz,EO,Watts–Strogatz,Watts–Strogatz,99,99,False,5,0.0048959739009614145,100,100,0,0.60000000000000053,0
Base,Watts–Strogatz,DP,Watts–Strogatz,Watts–Strogatz,99,99,True,5,0.0053182036349515016,39.600000000000001,29.399999999999999,10.200000000000003,10.533910533910539,6.0000000000000018
Base,Watts–Strogatz,DP,Watts–Strogatz,Watts–Strogatz,99,99,False,5,0.0048868367079426545,100,100,0,4.6000000000000041,0
Variant I,Base (80/20),Baseline,Base (80/20),Base (80/20),2026,2026,True,5,0.0081571097756822919,36,33,3,6.6666666666666652,2.4500000000000028
Variant I,Base (80/20),Baseline,Base (80/20),Base (80/20),2026,2026,False,5,0.0079890938312134896,100,100,0,4.5999999999999925,0
Variant I,Base (80/20),LCF-original,Base (80/20),Base (80/20),2026,2026,True,5,0.0051173527605395952,35.600000000000001,16.400000000000002,19.199999999999999,22.115648122773358,20.150000000000002
Variant I,Base (80/20),LCF-original,Base (80/20),Base (80/20),2026,2026,False,5,0.0050205263817599821,100,100,0,16.800000000000004,0
Variant I,Base (80/20),LCF-active,Base (80/20),Base (80/20),2026,2026,True,5,0.0043748005673532875,36,19,17,15.4093567251462,18.149999999999999
Variant I,Base (80/20),LCF-active,Base (80/20),Base (80/20),2026,2026,False,5,0.0044963045773777077,100,100,0,17.600000000000005,0
Variant I,Base (80/20),EO,Base (80/20),Base (80/20),2026,2026,True,5,0.0079848788351902789,36,31.600000000000001,4.3999999999999986,8.9943741209564045,4.1500000000000021
Variant I,Base (80/20),EO,Base (80/20),Base (80/20),2026,2026,False,5,0.0078721032274960967,100,100,0,5.9999999999999947,0
Variant I,Base (80/20),DP,Base (80/20),Base (80/20),2026,2026,True,5,0.0081802048411613315,36,33,3,6.6666666666666652,2.4500000000000028
Variant I,Base (80/20),DP,Base (80/20),Base (80/20),2026,2026,False,5,0.0080154945729613569,100,100,0,4.5999999999999925,0
Variant I,Base (80/20),Baseline,Base (80/20),Base (80/20),7,7,True,5,0.0089380155736855649,36.600000000000001,36.399999999999999,0.20000000000000284,4.5817570407734269,1.4499999999999993
