dataset,network,model,opt_out,unfairness_mean,unfairness_std,retention_disparity_mean,retention_disparity_std,average_retention_disparity_mean,average_retention_disparity_std
Variant II,Base (80/20),LCF-active,True,0.0032823662458465242,0.00084203323982441787,25.440000000000005,2.239285600364544,24.669999999999998,2.7543783327640394
Variant II,Base (80/20),LCF-original,False,0.0041009031385603302,0.00074493016573539642,0,0,0,0
Variant II,Base (80/20),LCF-original,True,0.0038495975671273275,0.0010639727893958727,23.32,2.0653329029480947,23.249999999999996,2.2040871126160151
Variant II,Erdős–Rényi,Baseline,False,0.0047572501086530885,0.00088828896812498663,0,0,0,0
Variant II,Erdős–Rényi,Baseline,True,0.0047775801251208842,0.0010940734446912279,12.919999999999998,2.5095019426173004,10.69,1.7456803831171372
Variant II,Erdős–Rényi,DP,False,0.0046741365598518938,0.00085701113868470345,0,0,0,0
Variant II,Erdős–Rényi,DP,True,0.0046305418228921756,0.00099109406952909026,6.2400000000000038,0.99919967974374535,5.3400000000000016,2.0421557237390098
Variant II,Erdős–Rényi,EO,False,0.0044749895966043731,0.00081002182162350899,0,0,0,0
Variant II,Erdős–Rényi,EO,True,0.0044233041743795051,0.00096315214588142141,1.4000000000000015,0.93808315196468761,3.0600000000000005,1.2253162856993307
Variant II,Erdős–Rényi,LCF-active,False,0.0037502611333077641,0.00064859824753719583,0,0,0,0
Variant II,Erdős–Rényi,LCF-active,True,0.0035083005251918655,0.00082594261389289472,24.800000000000001,3.1949960876345345,23.850000000000001,3.3771289581536577
Variant II,Erdős–Rényi,LCF-original,False,0.0043479515163845628,0.00080010192694564177,0,0,0,0
Variant II,Erdős–Rényi,LCF-original,True,0.0041115651489746826,0.0010438688999691492,23.32,3.5113530155767609,23.009999999999998,3.773910438788922
Variant II,Watts–Strogatz,Baseline,False,0.0045069571536271447,0.00087713373624667896,0,0,0,0
Variant II,Watts–Strogatz,Baseline,True,0.0046201913808608715,0.0011424256320454642,12.040000000000001,1.9530488985173935,11.01,3.1699211346656559
Variant II,Watts–Strogatz,DP,False,0.0044270595530435438,0.00084404858367265656,0,0,0,0
Variant II,Watts–Strogatz,DP,True,0.0044394195201991503,0.0011289740964525565,5.9599999999999991,1.997598558269406,6.1800000000000015,2.5875857473714765
Variant II,Watts–Strogatz,EO,False,0.0042709647161426334,0.00080125380316445869,0,0,0,0
Variant II,Watts–Strogatz,EO,True,0.0041304421479487095,0.0011674631453528817,1.319999999999999,0.43081318457075879,3.569999999999999,1.0689246933250238
Variant II,Watts–Strogatz,LCF-active,False,0.0044341862921879697,0.00082639286325040997,0,0,0,0
Variant II,Watts–Strogatz,LCF-active,True,0.0043083701090172342,0.0010505082908092481,25.199999999999999,2.5643712679719362,25.460000000000001,2.3253816890996624
Variant II,Watts–Strogatz,LCF-original,False,0.0044503784173357099,0.000816835411934007,0,0,0,0
Variant II,Watts–Strogatz,LCF-original,True,0.0042707328555984473,0.0010847887996807441,23.559999999999999,2.2032702966272648,24.030000000000001,2.432200649617545
