dataset,network,model,training_network,evaluation_network,seed,graph_seed,opt_out,step,unfairness,retention_s0,retention_s1,retention_disparity,approval_rate_difference
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),13,13,False,2,0.0046172735119403008,100,100,0,12.999999999999995
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),13,13,False,3,0.0047738434952004916,100,100,0,10.199999999999992
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),13,13,False,4,0.0047322740345048242,100,100,0,13.200000000000001
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),13,13,False,5,0.0053432805366081526,100,100,0,19.199999999999999
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),13,13,True,1,0.0043418407440185547,100,100,0,16.200000000000003
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),13,13,True,2,0.0042365636954518893,83.799999999999997,62.799999999999997,21,10.301293647294896
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),13,13,True,3,0.0048160671121767473,61.199999999999996,38.600000000000001,22.599999999999994,10.884215516949435
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),13,13,True,4,0.0039807043964437128,47,23.200000000000003,23.799999999999997,12.978723404255321
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),13,13,True,5,0.0043478340512743685,36,16.199999999999999,19.800000000000001,24.259259259259263
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),13,13,False,1,0.0043418407440185547,100,100,0,16.200000000000003
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),13,13,False,2,0.0042365636954518893,100,100,0,14.400000000000002
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),13,13,False,3,0.0046676530637436153,100,100,0,9.5999999999999979
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),13,13,False,4,0.004221470331499666,100,100,0,13.600000000000001
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),13,13,False,5,0.004932880520844507,100,100,0,19.000000000000007
Base,Base (80/20),EO,Base (80/20),Base (80/20),13,13,True,1,0.006424033030848042,100,100,0,4.2000000000000037
Base,Base (80/20),EO,Base (80/20),Base (80/20),13,13,True,2,0.0062082357833660451,80.400000000000006,75.799999999999997,4.6000000000000085,3.7116528177056685
Base,Base (80/20),EO,Base (80/20),Base (80/20),13,13,True,3,0.0072264300158173533,60.399999999999999,53.800000000000004,6.5999999999999943,2.1504714542455505
Base,Base (80/20),EO,Base (80/20),Base (80/20),13,13,True,4,0.0060378135468663885,47.599999999999994,38.600000000000001,8.9999999999999929,5.2466582487917464
Base,Base (80/20),EO,Base (80/20),Base (80/20),13,13,True,5,0.0066176641270385694,38,28.799999999999997,9.2000000000000028,6.4035087719298218
Base,Base (80/20),EO,Base (80/20),Base (80/20),13,13,False,1,0.006424033030848042,100,100,0,4.2000000000000037
Base,Base (80/20),EO,Base (80/20),Base (80/20),13,13,False,2,0.0062082357833660451,100,100,0,6.4000000000000057
Base,Base (80/20),EO,Base (80/20),Base (80/20),13,13,False,3,0.0070426644853101017,100,100,0,-0.40000000000000036
Base,Base (80/20),EO,Base (80/20),Base (80/20),13,13,False,4,0.0062312249382759921,100,100,0,2.8000000000000025
Base,Base (80/20),EO,Base (80/20),Base (80/20),13,13,False,5,0.0071957339073001059,100,100,0,6.9999999999999947
Base,Base (80/20),DP,Base (80/20),Base (80/20),13,13,True,1,0.0064856270550558426,100,100,0,7.5999999999999961
Base,Base (80/20),DP,Base (80/20),Base (80/20),13,13,True,2,0.0062847323383186104,82,73.400000000000006,8.5999999999999943,7.3715690835382546
Base,Base (80/20),DP,Base (80/20),Base (80/20),13,13,True,3,0.0072738820630706691,63.800000000000004,50.799999999999997,13.000000000000007,3.4877693579838609
Base,Base (80/20),DP,Base (80/20),Base (80/20),13,13,True,4,0.0061901784517847114,50.200000000000003,35,15.200000000000003,6.0147979510529304
Base,Base (80/20),DP,Base (80/20),Base (80/20),13,13,True,5,0.0068193621635662671,40.200000000000003,26,14.200000000000003,6.8924607730577954
Base,Base (80/20),DP,Base (80/20),Base (80/20),13,13,False,1,0.0064856270550558426,100,100,0,7.5999999999999961
Base,Base (80/20),DP,Base (80/20),Base (80/20),13,13,False,2,0.0062847323383186104,100,100,0,9.5999999999999979
Base,Base (80/20),DP,Base (80/20),Base (80/20),13,13,False,3,0.0071283296555236797,100,100,0,1.4000000000000012
Base,Base (80/20),DP,Base (80/20),Base (80/20),13,13,False,4,0.0063344478442177721,100,100,0,6.2000000000000055
Base,Base (80/20),DP,Base (80/20),Base (80/20),13,13,False,5,0.0073554970228756344,100,100,0,9.1999999999999975
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),42,42,True,1,0.0064928992551834819,100,100,0,3.0000000000000027
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),42,42,True,2,0.0066859815710779147,76.400000000000006,74.400000000000006,2,1.9549062658334782
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),42,42,True,3,0.0069066312057793899,59.199999999999996,55.600000000000009,3.5999999999999872,11.168092552984643
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),42,42,True,4,0.0052389479829341168,50,40.200000000000003,9.7999999999999972,-0.17910447761193549
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),42,42,True,5,0.0060346184154845828,39.800000000000004,31,8.8000000000000043,2.3180418220132948
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),42,42,False,1,0.0064928992551834819,100,100,0,3.0000000000000027
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),42,42,False,2,0.0066859815710779147,100,100,0,1.0000000000000009
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),42,42,False,3,0.0070991348671319843,100,100,0,8.9999999999999964
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),42,42,False,4,0.0052388421088386261,100,100,0,6.0000000000000053
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),42,42,False,5,0.0058032864554532493,100,100,0,-1.8000000000000016
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),42,42,True,1,0.0044450759887695312,100,100,0,9.3999999999999968
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),42,42,True,2,0.0045959703020774789,74.599999999999994,62.200000000000003,12.399999999999991,14.342732515538387
