run_id,dataset,model,opt_out,seed,graph_seed,source,step,group,metric,statistic,value,unit,steps,enforce_demographic_mixing,k_same,k_other,directed,decision_coef,repayment_coef,eps,base_s0,base_s1,test_n,test_initialization_seed,n_seeds,seeds,std_ddof
20260917T140533_427046Z_29f7ca,Base,Baseline,True,13,13,diagnostic_unclipped_decision_labels,5,all,long_fairness,value,0.0010709757482136872,fraction,5,True,8,2,False,0.80000000000000004,0.80000000000000004,0.5,0,0,1000,2027,,,
20260917T140533_427046Z_29f7ca,Base,Baseline,True,42,42,diagnostic_unclipped_decision_labels,1,all,accuracy,value,0.66100000000000003,fraction,5,True,8,2,False,0.80000000000000004,0.80000000000000004,0.5,0,0,1000,2027,,,
20260917T140533_427046Z_29f7ca,Base,Baseline,True,42,42,diagnostic_unclipped_decision_labels,1,all,short_fairness,value,0,fraction,5,True,8,2,False,0.80000000000000004,0.80000000000000004,0.5,0,0,1000,2027,,,
20260917T140533_427046Z_29f7ca,Base,Baseline,True,42,42,diagnostic_unclipped_decision_labels,1,all,long_fairness,value,0,fraction,5,True,8,2,False,0.80000000000000004,0.80000000000000004,0.5,0,0,1000,2027,,,
20260917T140533_427046Z_29f7ca,Base,Baseline,True,42,42,diagnostic_unclipped_decision_labels,2,all,accuracy,value,0.58699999999999997,fraction,5,True,8,2,False,0.80000000000000004,0.80000000000000004,0.5,0,0,1000,2027,,,
20260917T140533_427046Z_29f7ca,Base,Baseline,True,42,42,diagnostic_unclipped_decision_labels,2,all,short_fairness,value,0,fraction,5,True,8,2,False,0.80000000000000004,0.80000000000000004,0.5,0,0,1000,2027,,,
20260917T140533_427046Z_29f7ca,Base,Baseline,True,42,42,diagnostic_unclipped_decision_labels,2,all,long_fairness,value,0.00035467813410594573,fraction,5,True,8,2,False,0.80000000000000004,0.80000000000000004,0.5,0,0,1000,2027,,,
20260917T140533_427046Z_29f7ca,Base,Baseline,True,42,42,diagnostic_unclipped_decision_labels,3,all,accuracy,value,0.56000000000000005,fraction,5,True,8,2,False,0.80000000000000004,0.80000000000000004,0.5,0,0,1000,2027,,,
20260917T140533_427046Z_29f7ca,Base,Baseline,True,42,42,diagnostic_unclipped_decision_labels,3,all,short_fairness,value,0,fraction,5,True,8,2,False,0.80000000000000004,0.80000000000000004,0.5,0,0,1000,2027,,,
20260917T140533_427046Z_29f7ca,Base,Baseline,True,42,42,diagnostic_unclipped_decision_labels,3,all,long_fairness,value,0.00033676537610072277,fraction,5,True,8,2,False,0.80000000000000004,0.80000000000000004,0.5,0,0,1000,2027,,,
