dataset,network,model,training_network,evaluation_network,seed,graph_seed,opt_out,step,unfairness,retention_s0,retention_s1,retention_disparity,approval_rate_difference
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),7,7,True,4,0.0065611153841018677,100,86,14,1.3953488372092981
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),7,7,True,5,0.0062415513992309934,100,85.399999999999991,14.600000000000009,1.4393442622950836
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),7,7,False,1,0.0033998594284058159,100,100,0,13.4
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),7,7,False,2,0.0022726781368255233,100,100,0,7.1999999999999957
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),7,7,False,3,0.0013216135501861181,100,100,0,4.8000000000000043
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),7,7,False,4,0.0007478996515273284,100,100,0,3.2000000000000028
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),7,7,False,5,0.00031564486026769423,100,100,0,3.2000000000000028
Base,Base (80/20),EO,Base (80/20),Base (80/20),7,7,True,1,0.00062857209181632623,100,100,0,2.200000000000002
Base,Base (80/20),EO,Base (80/20),Base (80/20),7,7,True,2,0.0058729124317853376,85,84.200000000000003,0.79999999999999716,-4.1911415397512979
Base,Base (80/20),EO,Base (80/20),Base (80/20),7,7,True,3,0.0034771638682908335,66.600000000000009,67.200000000000003,0.59999999999999432,-2.4104461604461558
Base,Base (80/20),EO,Base (80/20),Base (80/20),7,7,True,4,0.024775960839803435,53,56.799999999999997,3.7999999999999972,0.066436353972887385
Base,Base (80/20),EO,Base (80/20),Base (80/20),7,7,True,5,0.034180976767963112,42.399999999999999,47.599999999999994,5.1999999999999957,-0.091168542888853121
Base,Base (80/20),EO,Base (80/20),Base (80/20),7,7,False,1,0.00062857209181632623,100,100,0,2.200000000000002
Base,Base (80/20),EO,Base (80/20),Base (80/20),7,7,False,2,0.00062868362975743164,100,100,0,-4.5999999999999925
Base,Base (80/20),EO,Base (80/20),Base (80/20),7,7,False,3,0.00062859848846208433,100,100,0,-2.8000000000000025
Base,Base (80/20),EO,Base (80/20),Base (80/20),7,7,False,4,0.00062854610498941366,100,100,0,-0.20000000000000018
Base,Base (80/20),EO,Base (80/20),Base (80/20),7,7,False,5,0.00062857895264467611,100,100,0,3.0000000000000027
Base,Base (80/20),DP,Base (80/20),Base (80/20),7,7,True,1,0.0011422741246552848,100,100,0,1.4000000000000012
Base,Base (80/20),DP,Base (80/20),Base (80/20),7,7,True,2,0.00035198586791529429,86.200000000000003,86.400000000000006,0.20000000000000284,-5.3955057145312342
Base,Base (80/20),DP,Base (80/20),Base (80/20),7,7,True,3,0.015870927516215716,69.799999999999997,72.399999999999991,2.5999999999999943,-1.6946603555541562
Base,Base (80/20),DP,Base (80/20),Base (80/20),7,7,True,4,0.021663186608544605,58.199999999999996,61.600000000000001,3.4000000000000057,0.18409425625920406
Base,Base (80/20),DP,Base (80/20),Base (80/20),7,7,True,5,0.034480612742349204,47.199999999999996,52.200000000000003,5.0000000000000071,1.7160205208130441
Base,Base (80/20),DP,Base (80/20),Base (80/20),7,7,False,1,0.0011422741246552848,100,100,0,1.4000000000000012
Base,Base (80/20),DP,Base (80/20),Base (80/20),7,7,False,2,0.0011426349460792462,100,100,0,-4.2000000000000037
Base,Base (80/20),DP,Base (80/20),Base (80/20),7,7,False,3,0.0011424838334763709,100,100,0,-2.5999999999999912
Base,Base (80/20),DP,Base (80/20),Base (80/20),7,7,False,4,0.0011423582343652594,100,100,0,0.80000000000000071
Base,Base (80/20),DP,Base (80/20),Base (80/20),7,7,False,5,0.0011426464515389423,100,100,0,1.9999999999999907
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),13,13,True,1,0.0022804378935982195,100,100,0,1.2000000000000011
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),13,13,True,2,0.0017878422721776532,99.599999999999994,99.200000000000003,0.39999999999999147,0.81130975514962511
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),13,13,True,3,0.0058446196180949039,99.400000000000006,99.200000000000003,0.20000000000000284,0.80766859219835174
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),13,13,True,4,0.0099276914311312581,99,99.200000000000003,0.20000000000000284,1.611274030628862
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),13,13,True,5,0.0061263274020771918,99,98.400000000000006,0.59999999999999432,1.8317319536831689
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),13,13,False,1,0.0022804378935982195,100,100,0,1.2000000000000011
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),13,13,False,2,0.0021395744457822774,100,100,0,0.80000000000000071
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),13,13,False,3,0.0020456222705160787,100,100,0,0.80000000000000071
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),13,13,False,4,0.0019203295897457506,100,100,0,1.6000000000000014
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),13,13,False,5,0.0018178884137184381,100,100,0,1.8000000000000016
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),13,13,True,1,0.0033942106962204788,100,100,0,14.400000000000002
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),13,13,True,2,0.0021462961435317895,99.400000000000006,87.200000000000003,12.200000000000003,6.6753733409632083
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),13,13,True,3,0.0066918821334839285,99,84,15,2.6911976911976887
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),13,13,True,4,0.0091497023105622244,98.799999999999997,83.399999999999991,15.400000000000006,1.2364197710657443
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),13,13,True,5,0.0095706286430359278,98.799999999999997,83.399999999999991,15.400000000000006,1.4388489208633115
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),13,13,False,1,0.0033942106962204788,100,100,0,14.400000000000002
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),13,13,False,2,0.001746487140655506,100,100,0,8.3999999999999968
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),13,13,False,3,0.0012701594829559459,100,100,0,4.0000000000000036
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),13,13,False,4,0.00060835278034210294,100,100,0,3.2000000000000028
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),13,13,False,5,0.00028948163986208808,100,100,0,2.8000000000000025
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),13,13,True,1,0.0033998594284058159,100,100,0,14.400000000000002
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),13,13,True,2,0.0021577737331390789,99.400000000000006,87.200000000000003,12.200000000000003,6.8765805844239747
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),13,13,True,3,0.0066744339466094926,99,84,15,2.4531024531024515
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),13,13,True,4,0.0091516636610031732,98.799999999999997,83.399999999999991,15.400000000000006,1.2364197710657443
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),13,13,True,5,0.00957583248615268,98.799999999999997,83.399999999999991,15.400000000000006,1.4388489208633115
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),13,13,False,1,0.0033998594284058159,100,100,0,14.400000000000002
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),13,13,False,2,0.0017361881732940176,100,100,0,8.5999999999999961
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),13,13,False,3,0.0012896510362624403,100,100,0,3.8000000000000034
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),13,13,False,4,0.00060766899585718015,100,100,0,3.2000000000000028
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),13,13,False,5,0.00028638911247258481,100,100,0,2.8000000000000025
Base,Base (80/20),EO,Base (80/20),Base (80/20),13,13,True,1,0.00062857209181632623,100,100,0,0.20000000000000018
Base,Base (80/20),EO,Base (80/20),Base (80/20),13,13,True,2,0.007129444257586548,84.399999999999991,83.399999999999991,1,-5.0524509302510623
Base,Base (80/20),EO,Base (80/20),Base (80/20),13,13,True,3,0.02879096441785689,64,68.400000000000006,4.4000000000000057,-0.900950292397662
Base,Base (80/20),EO,Base (80/20),Base (80/20),13,13,True,4,0.026208008597327748,51.399999999999999,55.400000000000006,4.0000000000000071,3.3038812176038435
Base,Base (80/20),EO,Base (80/20),Base (80/20),13,13,True,5,0.0249316656984237,42.199999999999996,46,3.8000000000000043,-9.8495775808778099
Base,Base (80/20),EO,Base (80/20),Base (80/20),13,13,False,1,0.00062857209181632623,100,100,0,0.20000000000000018
Base,Base (80/20),EO,Base (80/20),Base (80/20),13,13,False,2,0.00062863118081923908,100,100,0,-4.0000000000000036
Base,Base (80/20),EO,Base (80/20),Base (80/20),13,13,False,3,0.00062861157650229149,100,100,0,-3.2000000000000028
Base,Base (80/20),EO,Base (80/20),Base (80/20),13,13,False,4,0.00062858543203092587,100,100,0,2.4000000000000021
Base,Base (80/20),EO,Base (80/20),Base (80/20),13,13,False,5,0.00062867732533389287,100,100,0,-3.6000000000000032
Base,Base (80/20),DP,Base (80/20),Base (80/20),13,13,True,1,0.0011422741246552848,100,100,0,2.0000000000000018
Base,Base (80/20),DP,Base (80/20),Base (80/20),13,13,True,2,0.026205985371832163,86,82.399999999999991,3.6000000000000085,-3.8868819146534173
Base,Base (80/20),DP,Base (80/20),Base (80/20),13,13,True,3,0.0076471129491380574,68.600000000000009,70,1.3999999999999915,-1.4285714285714235
Base,Base (80/20),DP,Base (80/20),Base (80/20),13,13,True,4,0.014756014524004935,56.200000000000003,59.199999999999996,2.9999999999999929,2.1833221121477342
Base,Base (80/20),DP,Base (80/20),Base (80/20),13,13,True,5,0.019029105290743087,46.600000000000001,50.399999999999999,3.7999999999999972,-6.9861707200763012
Base,Base (80/20),DP,Base (80/20),Base (80/20),13,13,False,1,0.0011422741246552848,100,100,0,2.0000000000000018
Base,Base (80/20),DP,Base (80/20),Base (80/20),13,13,False,2,0.0011427072290034479,100,100,0,-2.399999999999991
Base,Base (80/20),DP,Base (80/20),Base (80/20),13,13,False,3,0.0011428249049229011,100,100,0,-2.4000000000000021
Base,Base (80/20),DP,Base (80/20),Base (80/20),13,13,False,4,0.001142844727179404,100,100,0,2.0000000000000018
Base,Base (80/20),DP,Base (80/20),Base (80/20),13,13,False,5,0.001143228589218781,100,100,0,-4.5999999999999925
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),42,42,True,1,0.0022804378935982195,100,100,0,0
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),42,42,True,2,0.0021332921560452967,100,100,0,2.0000000000000018
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),42,42,True,3,0.0020063543277426543,100,99.200000000000003,0.79999999999999716,0.81290322580644947
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),42,42,True,4,0.0018800938336325235,100,99.200000000000003,0.79999999999999716,1.4145161290322616
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),42,42,True,5,0.0017846811938463381,100,99.200000000000003,0.79999999999999716,0.2080645161290362
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),42,42,False,1,0.0022804378935982195,100,100,0,0
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),42,42,False,2,0.0021332921560452967,100,100,0,2.0000000000000018
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),42,42,False,3,0.0020063543277426543,100,100,0,0.80000000000000071
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),42,42,False,4,0.0018800938336325235,100,100,0,1.4000000000000012
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),42,42,False,5,0.0017846811938463381,100,100,0,0.20000000000000018
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),42,42,True,1,0.0033942106962204788,100,100,0,10.199999999999998
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),42,42,True,2,0.0080191239118576618,99.400000000000006,92,7.4000000000000057,6.1355087044003165
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),42,42,True,3,0.0072331119775772557,99.200000000000003,88,11.200000000000003,4.1165689149560087
