dataset,network,model,opt_out,step,metric,mean,std,n_valid_seeds
Base,Base (80/20),EO,True,5,retention_s1,47.159999999999997,1.3529227620230184,5
Base,Base (80/20),EO,True,5,unfairness,0.024749549890222898,0.012666140704349665,5
Base,Base (80/20),LCF-active,False,1,approval_rate_difference,12.84,1.4164744967700633,5
Base,Base (80/20),LCF-active,False,1,retention_disparity,0,0,5
Base,Base (80/20),LCF-active,False,1,retention_s0,100,0,5
Base,Base (80/20),LCF-active,False,1,retention_s1,100,0,5
Base,Base (80/20),LCF-active,False,1,unfairness,0.0033998594284058159,0,5
Base,Base (80/20),LCF-active,False,2,approval_rate_difference,8.2799999999999958,1.1634431657799202,5
Base,Base (80/20),LCF-active,False,2,retention_disparity,0,0,5
Base,Base (80/20),LCF-active,False,2,retention_s0,100,0,5
Base,Base (80/20),LCF-active,False,2,retention_s1,100,0,5
Base,Base (80/20),LCF-active,False,2,unfairness,0.0018720233201980462,0.00036576196230969318,5
Base,Base (80/20),LCF-active,False,3,approval_rate_difference,5.0000000000000044,0.68117545463705664,5
Base,Base (80/20),LCF-active,False,3,retention_disparity,0,0,5
Base,Base (80/20),LCF-active,False,3,retention_s0,100,0,5
Base,Base (80/20),LCF-active,False,3,retention_s1,100,0,5
Base,Base (80/20),LCF-active,False,3,unfairness,0.0013396656274795137,0.00031015159344835317,5
Base,Base (80/20),LCF-active,False,4,approval_rate_difference,3.4800000000000031,0.37094473981982851,5
Base,Base (80/20),LCF-active,False,4,retention_disparity,0,0,5
Base,Base (80/20),LCF-active,False,4,retention_s0,100,0,5
Base,Base (80/20),LCF-active,False,4,retention_s1,100,0,5
Base,Base (80/20),LCF-active,False,4,unfairness,0.00075469992160797088,0.00020071335675854451,5
Base,Base (80/20),LCF-active,False,5,approval_rate_difference,2.240000000000002,0.68585712797929055,5
Base,Base (80/20),LCF-active,False,5,retention_disparity,0,0,5
Base,Base (80/20),LCF-active,False,5,retention_s0,100,0,5
Base,Base (80/20),LCF-active,False,5,retention_s1,100,0,5
Base,Base (80/20),LCF-active,False,5,unfairness,0.00040265469551088452,0.00016143097104199641,5
Base,Base (80/20),LCF-active,True,1,approval_rate_difference,12.84,1.4164744967700633,5
Base,Base (80/20),LCF-active,True,1,retention_disparity,0,0,5
Base,Base (80/20),LCF-active,True,1,retention_s0,100,0,5
Base,Base (80/20),LCF-active,True,1,retention_s1,100,0,5
Base,Base (80/20),LCF-active,True,1,unfairness,0.0033998594284058159,0,5
Base,Base (80/20),LCF-active,True,2,approval_rate_difference,6.4016697659223691,0.92864010672072728,5
Base,Base (80/20),LCF-active,True,2,retention_disparity,10.080000000000002,1.6424372134118228,5
Base,Base (80/20),LCF-active,True,2,retention_s0,99.52000000000001,0.44899888641287328,5
Base,Base (80/20),LCF-active,True,2,retention_s1,89.439999999999998,1.763632614803887,5
Base,Base (80/20),LCF-active,True,2,unfairness,0.0046984871387481418,0.0024087793884179421,5
Base,Base (80/20),LCF-active,True,3,approval_rate_difference,3.2315172058902797,0.53131096198883221,5
Base,Base (80/20),LCF-active,True,3,retention_disparity,13.080000000000002,1.6029971927611093,5
Base,Base (80/20),LCF-active,True,3,retention_s0,99.280000000000001,0.67646138101150954,5
Base,Base (80/20),LCF-active,True,3,retention_s1,86.200000000000003,1.5999999999999999,5
Base,Base (80/20),LCF-active,True,3,unfairness,0.0062068418979644765,0.0010413566525593694,5
Base,Base (80/20),LCF-active,True,4,approval_rate_difference,1.8469731735472705,0.44108556003400079,5
Base,Base (80/20),LCF-active,True,4,retention_disparity,14.200000000000003,1.3206059215375332,5
Base,Base (80/20),LCF-active,True,4,retention_s0,99.239999999999995,0.69742383096650729,5
Base,Base (80/20),LCF-active,True,4,retention_s1,85.039999999999992,1.1959933110180851,5
Base,Base (80/20),LCF-active,True,4,unfairness,0.0071167327880859331,0.0013262274141178042,5
Base,Base (80/20),LCF-active,True,5,approval_rate_difference,0.95982231747238522,0.39878421057587771,5
Base,Base (80/20),LCF-active,True,5,retention_disparity,14.640000000000006,1.2800000000000018,5
Base,Base (80/20),LCF-active,True,5,retention_s0,99.239999999999995,0.69742383096650729,5
Base,Base (80/20),LCF-active,True,5,retention_s1,84.599999999999994,0.98792712281827944,5
Base,Base (80/20),LCF-active,True,5,unfairness,0.0070827035903930687,0.0014802126162879725,5
Base,Base (80/20),LCF-full,False,1,approval_rate_difference,12.880000000000001,1.43443368616329,5
Base,Base (80/20),LCF-full,False,1,retention_disparity,0,0,5
Base,Base (80/20),LCF-full,False,1,retention_s0,100,0,5
Base,Base (80/20),LCF-full,False,1,retention_s1,100,0,5
Base,Base (80/20),LCF-full,False,1,unfairness,0.0033942106962204788,0,5
Base,Base (80/20),LCF-full,False,2,approval_rate_difference,8.3599999999999959,1.2924395537122821,5
Base,Base (80/20),LCF-full,False,2,retention_disparity,0,0,5
Base,Base (80/20),LCF-full,False,2,retention_s0,100,0,5
Base,Base (80/20),LCF-full,False,2,retention_s1,100,0,5
Base,Base (80/20),LCF-full,False,2,unfairness,0.0018818753004073985,0.00036365041800884171,5
Base,Base (80/20),LCF-full,False,3,approval_rate_difference,5.0800000000000045,0.64000000000000057,5
Base,Base (80/20),LCF-full,False,3,retention_disparity,0,0,5
Base,Base (80/20),LCF-full,False,3,retention_s0,100,0,5
Base,Base (80/20),LCF-full,False,3,retention_s1,100,0,5
Base,Base (80/20),LCF-full,False,3,unfairness,0.0013438858270645505,0.00031062791893864459,5
Base,Base (80/20),LCF-full,False,4,approval_rate_difference,3.5200000000000031,0.44899888641287339,5
Base,Base (80/20),LCF-full,False,4,retention_disparity,0,0,5
Base,Base (80/20),LCF-full,False,4,retention_s0,100,0,5
Base,Base (80/20),LCF-full,False,4,retention_s1,100,0,5
Base,Base (80/20),LCF-full,False,4,unfairness,0.00076327517032619423,0.0002035076590718299,5
Base,Base (80/20),LCF-full,False,5,approval_rate_difference,2.240000000000002,0.68585712797929055,5
Base,Base (80/20),LCF-full,False,5,retention_disparity,0,0,5
Base,Base (80/20),LCF-full,False,5,retention_s0,100,0,5
Base,Base (80/20),LCF-full,False,5,retention_s1,100,0,5
Base,Base (80/20),LCF-full,False,5,unfairness,0.0004158614873886357,0.00015894030541976464,5
Base,Base (80/20),LCF-full,True,1,approval_rate_difference,12.880000000000001,1.43443368616329,5
Base,Base (80/20),LCF-full,True,1,retention_disparity,0,0,5
Base,Base (80/20),LCF-full,True,1,retention_s0,100,0,5
Base,Base (80/20),LCF-full,True,1,retention_s1,100,0,5
Base,Base (80/20),LCF-full,True,1,unfairness,0.0033942106962204788,0,5
Base,Base (80/20),LCF-full,True,2,approval_rate_difference,6.4965689613394701,0.98331001876831448,5
Base,Base (80/20),LCF-full,True,2,retention_disparity,10.080000000000002,1.6424372134118228,5
Base,Base (80/20),LCF-full,True,2,retention_s0,99.52000000000001,0.44899888641287328,5
Base,Base (80/20),LCF-full,True,2,retention_s1,89.439999999999998,1.763632614803887,5
Base,Base (80/20),LCF-full,True,2,unfairness,0.0046958633422851557,0.0024107084584014762,5
Base,Base (80/20),LCF-full,True,3,approval_rate_difference,3.2822512583765233,0.46487959737484058,5
Base,Base (80/20),LCF-full,True,3,retention_disparity,13.160000000000002,1.7036431551237488,5
Base,Base (80/20),LCF-full,True,3,retention_s0,99.280000000000001,0.67646138101150954,5
Base,Base (80/20),LCF-full,True,3,retention_s1,86.120000000000005,1.6666133324799739,5
Base,Base (80/20),LCF-full,True,3,unfairness,0.006209515118598974,0.0010430396826125218,5
Base,Base (80/20),LCF-full,True,4,approval_rate_difference,1.8970984868304774,0.48794291080000696,5
Base,Base (80/20),LCF-full,True,4,retention_disparity,14.280000000000005,1.4344336861632891,5
Base,Base (80/20),LCF-full,True,4,retention_s0,99.239999999999995,0.69742383096650729,5
Base,Base (80/20),LCF-full,True,4,retention_s1,84.959999999999994,1.2737346662472544,5
Base,Base (80/20),LCF-full,True,4,unfairness,0.0071161461353301814,0.0013262646605793071,5
Base,Base (80/20),LCF-full,True,5,approval_rate_difference,0.96051573863906725,0.39836839233464477,5
Base,Base (80/20),LCF-full,True,5,retention_disparity,14.720000000000004,1.4062716664997548,5
Base,Base (80/20),LCF-full,True,5,retention_s0,99.239999999999995,0.69742383096650729,5
Base,Base (80/20),LCF-full,True,5,retention_s1,84.519999999999996,1.0925200226998126,5
Base,Base (80/20),LCF-full,True,5,unfairness,0.0070893457651138416,0.0014737264244290354,5
Base,Erdős–Rényi,Baseline,False,1,approval_rate_difference,1.5200000000000014,0.95163018026962631,5
Base,Erdős–Rényi,Baseline,False,1,retention_disparity,0,0,5
Base,Erdős–Rényi,Baseline,False,1,retention_s0,100,0,5
Base,Erdős–Rényi,Baseline,False,1,retention_s1,100,0,5
Base,Erdős–Rényi,Baseline,False,1,unfairness,0.0022731282140118214,0,5
Base,Erdős–Rényi,Baseline,False,2,approval_rate_difference,1.160000000000001,0.62481997407253287,5
Base,Erdős–Rényi,Baseline,False,2,retention_disparity,0,0,5
Base,Erdős–Rényi,Baseline,False,2,retention_s0,100,0,5
Base,Erdős–Rényi,Baseline,False,2,retention_s1,100,0,5
Base,Erdős–Rényi,Baseline,False,2,unfairness,0.0021407355785681313,1.010618438653131e-05,5
Base,Erdős–Rényi,Baseline,False,3,approval_rate_difference,0.6800000000000006,0.16000000000000014,5
Base,Erdős–Rényi,Baseline,False,3,retention_disparity,0,0,5
Base,Erdős–Rényi,Baseline,False,3,retention_s0,100,0,5
Base,Erdős–Rényi,Baseline,False,3,retention_s1,100,0,5
Base,Erdős–Rényi,Baseline,False,3,unfairness,0.0020234562765612642,1.4289967535619097e-05,5
Base,Erdős–Rényi,Baseline,False,4,approval_rate_difference,1.5600000000000014,0.19595917942265439,5
Base,Erdős–Rényi,Baseline,False,4,retention_disparity,0,0,5
Base,Erdős–Rényi,Baseline,False,4,retention_s0,100,0,5
Base,Erdős–Rényi,Baseline,False,4,retention_s1,100,0,5
Base,Erdős–Rényi,Baseline,False,4,unfairness,0.0019035743204263822,1.7762748754151715e-05,5
Base,Erdős–Rényi,Baseline,False,5,approval_rate_difference,0.96000000000000085,0.89799777282574678,5
Base,Erdős–Rényi,Baseline,False,5,retention_disparity,0,0,5
Base,Erdős–Rényi,Baseline,False,5,retention_s0,100,0,5
Base,Erdős–Rényi,Baseline,False,5,retention_s1,100,0,5
Base,Erdős–Rényi,Baseline,False,5,unfairness,0.0017969371789617438,2.5911109669721861e-05,5
Base,Erdős–Rényi,Baseline,True,1,approval_rate_difference,1.5200000000000014,0.95163018026962631,5
Base,Erdős–Rényi,Baseline,True,1,retention_disparity,0,0,5
Base,Erdős–Rényi,Baseline,True,1,retention_s0,100,0,5
Base,Erdős–Rényi,Baseline,True,1,retention_s1,100,0,5
Base,Erdős–Rényi,Baseline,True,1,unfairness,0.0022731282140118214,0,5
Base,Erdős–Rényi,Baseline,True,2,approval_rate_difference,1.1691274187659717,0.62689512507470113,5
Base,Erdős–Rényi,Baseline,True,2,retention_disparity,0.40000000000000002,0.48989794855663565,5
Base,Erdős–Rényi,Baseline,True,2,retention_s0,99.920000000000002,0.16000000000000228,5
Base,Erdős–Rényi,Baseline,True,2,retention_s1,99.52000000000001,0.44899888641287278,5
Base,Erdős–Rényi,Baseline,True,2,unfairness,0.0028634786441208205,0.0016194764932019714,5
Base,Erdős–Rényi,Baseline,True,3,approval_rate_difference,0.73395916071679279,0.19748109906054018,5
Base,Erdős–Rényi,Baseline,True,3,retention_disparity,0.95999999999999941,0.69742383096650618,5
Base,Erdős–Rényi,Baseline,True,3,retention_s0,99.920000000000002,0.16000000000000228,5
Base,Erdős–Rényi,Baseline,True,3,retention_s1,98.960000000000008,0.64992307237087388,5
Base,Erdős–Rényi,Baseline,True,3,unfairness,0.0051891557357212738,0.003658116502163401,5
