run_id,dataset,model,opt_out,seed,graph_seed,source,step,group,metric,statistic,value,unit,steps,enforce_demographic_mixing,k_same,k_other,directed,decision_coef,repayment_coef,eps,base_s0,base_s1,test_n,test_initialization_seed,n_seeds,seeds,std_ddof,network,training_network,evaluation_network,n_valid_seeds,fairness_denominator_clip,decision_policy,fairness_policy
20260918T145630_180390Z_52d76d,Base,Baseline,True,13,13,diagnostic_direct_reference_policy_initial_cohort,3,all,accuracy,value,0.98399999999999999,fraction,5,True,8,2,False,1,1,0.5,0,0,1000,2027,,,,,,,,,Bernoulli(model_probability),"direct simulation; policy S=0 at all steps; terminal A*p(0,X)"
20260918T145630_180390Z_52d76d,Base,Baseline,True,13,13,diagnostic_direct_reference_policy_initial_cohort,3,all,short_fairness,value,0.0068917361391219734,fraction,5,True,8,2,False,1,1,0.5,0,0,1000,2027,,,,,,,,,Bernoulli(model_probability),"direct simulation; policy S=0 at all steps; terminal A*p(0,X)"
20260918T145630_180390Z_52d76d,Base,Baseline,True,13,13,diagnostic_direct_reference_policy_initial_cohort,3,all,long_fairness,value,0.0058446196180949039,fraction,5,True,8,2,False,1,1,0.5,0,0,1000,2027,,,,,,,,,Bernoulli(model_probability),"direct simulation; policy S=0 at all steps; terminal A*p(0,X)"
20260918T145630_180390Z_52d76d,Base,Baseline,True,13,13,diagnostic_direct_reference_policy_initial_cohort,4,all,accuracy,value,0.98699999999999999,fraction,5,True,8,2,False,1,1,0.5,0,0,1000,2027,,,,,,,,,Bernoulli(model_probability),"direct simulation; policy S=0 at all steps; terminal A*p(0,X)"
20260918T145630_180390Z_52d76d,Base,Baseline,True,13,13,diagnostic_direct_reference_policy_initial_cohort,4,all,short_fairness,value,0.0063865225074933862,fraction,5,True,8,2,False,1,1,0.5,0,0,1000,2027,,,,,,,,,Bernoulli(model_probability),"direct simulation; policy S=0 at all steps; terminal A*p(0,X)"
20260918T145630_180390Z_52d76d,Base,Baseline,True,13,13,diagnostic_direct_reference_policy_initial_cohort,4,all,long_fairness,value,0.0099276914311312581,fraction,5,True,8,2,False,1,1,0.5,0,0,1000,2027,,,,,,,,,Bernoulli(model_probability),"direct simulation; policy S=0 at all steps; terminal A*p(0,X)"
20260918T145630_180390Z_52d76d,Base,Baseline,True,13,13,diagnostic_direct_reference_policy_initial_cohort,5,all,accuracy,value,0.98799999999999999,fraction,5,True,8,2,False,1,1,0.5,0,0,1000,2027,,,,,,,,,Bernoulli(model_probability),"direct simulation; policy S=0 at all steps; terminal A*p(0,X)"
20260918T145630_180390Z_52d76d,Base,Baseline,True,13,13,diagnostic_direct_reference_policy_initial_cohort,5,all,short_fairness,value,0.0059188384536176253,fraction,5,True,8,2,False,1,1,0.5,0,0,1000,2027,,,,,,,,,Bernoulli(model_probability),"direct simulation; policy S=0 at all steps; terminal A*p(0,X)"
20260918T145630_180390Z_52d76d,Base,Baseline,True,13,13,diagnostic_direct_reference_policy_initial_cohort,5,all,long_fairness,value,0.0061263274020771918,fraction,5,True,8,2,False,1,1,0.5,0,0,1000,2027,,,,,,,,,Bernoulli(model_probability),"direct simulation; policy S=0 at all steps; terminal A*p(0,X)"
20260918T145630_180390Z_52d76d,Base,Baseline,True,42,42,diagnostic_direct_reference_policy_initial_cohort,1,all,accuracy,value,0.98799999999999999,fraction,5,True,8,2,False,1,1,0.5,0,0,1000,2027,,,,,,,,,Bernoulli(model_probability),"direct simulation; policy S=0 at all steps; terminal A*p(0,X)"
20260918T145630_180390Z_52d76d,Base,Baseline,True,42,42,diagnostic_direct_reference_policy_initial_cohort,1,all,short_fairness,value,0.0080164275463953105,fraction,5,True,8,2,False,1,1,0.5,0,0,1000,2027,,,,,,,,,Bernoulli(model_probability),"direct simulation; policy S=0 at all steps; terminal A*p(0,X)"
20260918T145630_180390Z_52d76d,Base,Baseline,True,42,42,diagnostic_direct_reference_policy_initial_cohort,1,all,long_fairness,value,0.0022804378935982195,fraction,5,True,8,2,False,1,1,0.5,0,0,1000,2027,,,,,,,,,Bernoulli(model_probability),"direct simulation; policy S=0 at all steps; terminal A*p(0,X)"
20260918T145630_180390Z_52d76d,Base,Baseline,True,42,42,diagnostic_direct_reference_policy_initial_cohort,2,all,accuracy,value,0.98099999999999998,fraction,5,True,8,2,False,1,1,0.5,0,0,1000,2027,,,,,,,,,Bernoulli(model_probability),"direct simulation; policy S=0 at all steps; terminal A*p(0,X)"
20260918T145630_180390Z_52d76d,Base,Baseline,True,42,42,diagnostic_direct_reference_policy_initial_cohort,2,all,short_fairness,value,0.007430718904272382,fraction,5,True,8,2,False,1,1,0.5,0,0,1000,2027,,,,,,,,,Bernoulli(model_probability),"direct simulation; policy S=0 at all steps; terminal A*p(0,X)"
20260918T145630_180390Z_52d76d,Base,Baseline,True,42,42,diagnostic_direct_reference_policy_initial_cohort,2,all,long_fairness,value,0.0021332921560452967,fraction,5,True,8,2,False,1,1,0.5,0,0,1000,2027,,,,,,,,,Bernoulli(model_probability),"direct simulation; policy S=0 at all steps; terminal A*p(0,X)"
20260918T145630_180390Z_52d76d,Base,Baseline,True,42,42,diagnostic_direct_reference_policy_initial_cohort,3,all,accuracy,value,0.98899999999999999,fraction,5,True,8,2,False,1,1,0.5,0,0,1000,2027,,,,,,,,,Bernoulli(model_probability),"direct simulation; policy S=0 at all steps; terminal A*p(0,X)"
20260918T145630_180390Z_52d76d,Base,Baseline,True,42,42,diagnostic_direct_reference_policy_initial_cohort,3,all,short_fairness,value,0.0068919685341441994,fraction,5,True,8,2,False,1,1,0.5,0,0,1000,2027,,,,,,,,,Bernoulli(model_probability),"direct simulation; policy S=0 at all steps; terminal A*p(0,X)"
20260918T145630_180390Z_52d76d,Base,Baseline,True,42,42,diagnostic_direct_reference_policy_initial_cohort,3,all,long_fairness,value,0.0020063543277426543,fraction,5,True,8,2,False,1,1,0.5,0,0,1000,2027,,,,,,,,,Bernoulli(model_probability),"direct simulation; policy S=0 at all steps; terminal A*p(0,X)"
20260918T145630_180390Z_52d76d,Base,Baseline,True,42,42,diagnostic_direct_reference_policy_initial_cohort,4,all,accuracy,value,0.98999999999999999,fraction,5,True,8,2,False,1,1,0.5,0,0,1000,2027,,,,,,,,,Bernoulli(model_probability),"direct simulation; policy S=0 at all steps; terminal A*p(0,X)"
20260918T145630_180390Z_52d76d,Base,Baseline,True,42,42,diagnostic_direct_reference_policy_initial_cohort,4,all,short_fairness,value,0.0063826020322285126,fraction,5,True,8,2,False,1,1,0.5,0,0,1000,2027,,,,,,,,,Bernoulli(model_probability),"direct simulation; policy S=0 at all steps; terminal A*p(0,X)"
20260918T145630_180390Z_52d76d,Base,Baseline,True,42,42,diagnostic_direct_reference_policy_initial_cohort,4,all,long_fairness,value,0.0018800938336325235,fraction,5,True,8,2,False,1,1,0.5,0,0,1000,2027,,,,,,,,,Bernoulli(model_probability),"direct simulation; policy S=0 at all steps; terminal A*p(0,X)"
20260918T145630_180390Z_52d76d,Base,Baseline,True,42,42,diagnostic_direct_reference_policy_initial_cohort,5,all,accuracy,value,0.98999999999999999,fraction,5,True,8,2,False,1,1,0.5,0,0,1000,2027,,,,,,,,,Bernoulli(model_probability),"direct simulation; policy S=0 at all steps; terminal A*p(0,X)"
20260918T145630_180390Z_52d76d,Base,Baseline,True,42,42,diagnostic_direct_reference_policy_initial_cohort,5,all,short_fairness,value,0.0059016315736817315,fraction,5,True,8,2,False,1,1,0.5,0,0,1000,2027,,,,,,,,,Bernoulli(model_probability),"direct simulation; policy S=0 at all steps; terminal A*p(0,X)"
20260918T145630_180390Z_52d76d,Base,Baseline,True,42,42,diagnostic_direct_reference_policy_initial_cohort,5,all,long_fairness,value,0.0017846811938463381,fraction,5,True,8,2,False,1,1,0.5,0,0,1000,2027,,,,,,,,,Bernoulli(model_probability),"direct simulation; policy S=0 at all steps; terminal A*p(0,X)"
20260918T145630_180390Z_52d76d,Base,Baseline,True,99,99,diagnostic_direct_reference_policy_initial_cohort,1,all,accuracy,value,0.98799999999999999,fraction,5,True,8,2,False,1,1,0.5,0,0,1000,2027,,,,,,,,,Bernoulli(model_probability),"direct simulation; policy S=0 at all steps; terminal A*p(0,X)"
