dataset,network,model,opt_out,unfairness_mean,unfairness_std,retention_disparity_mean,retention_disparity_std,average_retention_disparity_mean,average_retention_disparity_std
Variant I,Watts–Strogatz,LCF-full,True,0.006174913978576657,0.0021243962039012459,13.199999999999998,0.97159662411928938,11.459999999999997,0.83030115018588257
Variant II,Base (80/20),Baseline,False,0.0010062126011286753,1.1815541843254577e-05,0,0,0,0
Variant II,Base (80/20),Baseline,True,0.0025835305257524864,0.0014975890428419493,0.60000000000000286,0.21908902300206437,0.40000000000000213,0.21679483388678747
Variant II,Base (80/20),DP,False,0.00083751639965354838,2.9110441487596206e-07,0,0,0,0
Variant II,Base (80/20),DP,True,0.015009753533162074,0.012924911732213603,2.5600000000000009,1.9365949499056327,2.8599999999999994,0.9504735661763537
Variant II,Base (80/20),EO,False,0.00045744274235781646,8.6285488224701937e-08,0,0,0,0
Variant II,Base (80/20),EO,True,0.022947429485534,0.010466504188503136,3.5199999999999974,1.6326665305566834,3.6199999999999974,1.4661514246488989
Variant II,Base (80/20),LCF-active,False,0.00032871620655061662,0.00036811756246016628,0,0,0,0
Variant II,Base (80/20),LCF-active,True,0.0056633143424987594,0.0038327082969438005,14.519999999999996,1.966112916391122,13.039999999999997,1.6227754003558237
Variant II,Base (80/20),LCF-full,False,0.00033561437129974169,0.00036880905809805051,0,0,0,0
Variant II,Base (80/20),LCF-full,True,0.0056638426542282129,0.0038304754389677335,14.639999999999997,2.0333224043422153,13.149999999999997,1.6748134224444235
Variant II,Erdős–Rényi,Baseline,False,0.0010050748684338195,1.1775493734379315e-05,0,0,0,0
Variant II,Erdős–Rényi,Baseline,True,0.004975595185350068,0.0021771278319182006,0.92000000000000171,0.89977775033616225,0.59000000000000197,0.55172456896535005
Variant II,Erdős–Rényi,DP,False,0.00083419148332364301,2.8870415099032075e-07,0,0,0,0
Variant II,Erdős–Rényi,DP,True,0.01623076384496238,0.0097799765936976753,2.8000000000000016,1.2649110640673544,3.0600000000000041,1.0734989520255735
Variant II,Erdős–Rényi,EO,False,0.00045560508975266422,8.5562424575004357e-08,0,0,0,0
