dataset,network,model,training_network,evaluation_network,seed,graph_seed,opt_out,step,unfairness,retention_s0,retention_s1,retention_disparity,approval_rate_difference,average_retention_disparity
Base,Erdős–Rényi,EO,Erdős–Rényi,Erdős–Rényi,13,13,False,5,0.00063083991235735049,100,100,0,-3.6000000000000032,0
Base,Erdős–Rényi,DP,Erdős–Rényi,Erdős–Rényi,13,13,True,5,0.020102987027020014,51.200000000000003,48.600000000000001,2.6000000000000014,-5.610210905349799,2.3000000000000007
Base,Erdős–Rényi,DP,Erdős–Rényi,Erdős–Rényi,13,13,False,5,0.0011471213316209816,100,100,0,-4.5999999999999925,0
Base,Erdős–Rényi,Baseline,Erdős–Rényi,Erdős–Rényi,42,42,True,5,0.0057555531869888377,100,99.200000000000003,0.79999999999999716,0.2080645161290362,0.5
Base,Erdős–Rényi,Baseline,Erdős–Rényi,Erdős–Rényi,42,42,False,5,0.0017800677916215424,100,100,0,0.20000000000000018,0
Base,Erdős–Rényi,LCF-full,Erdős–Rényi,Erdős–Rényi,42,42,True,5,0.0018754231929778431,99.400000000000006,88.599999999999994,10.800000000000011,0.90293453724604733,8.8999999999999986
Base,Erdős–Rényi,LCF-full,Erdős–Rényi,Erdős–Rényi,42,42,False,5,0.00034651648998262896,100,100,0,2.200000000000002,0
Base,Erdős–Rényi,LCF-active,Erdős–Rényi,Erdős–Rényi,42,42,True,5,0.0018796445131302741,99.400000000000006,89,10.400000000000006,0.89887640449438644,8.5000000000000036
Base,Erdős–Rényi,LCF-active,Erdős–Rényi,Erdős–Rényi,42,42,False,5,0.00034125792980199687,100,100,0,2.200000000000002,0
Base,Erdős–Rényi,EO,Erdős–Rényi,Erdős–Rényi,42,42,True,5,0.031517432206119411,44.800000000000004,49.799999999999997,4.9999999999999929,6.9044033275960981,4.8499999999999925
Base,Erdős–Rényi,EO,Erdős–Rényi,Erdős–Rényi,42,42,False,5,0.00063055598368721988,100,100,0,1.7999999999999905,0
Base,Erdős–Rényi,DP,Erdős–Rényi,Erdős–Rényi,42,42,True,5,0.025965961288654305,51,55.200000000000003,4.2000000000000028,10.315430520034097,4.4500000000000046
Base,Erdős–Rényi,DP,Erdős–Rényi,Erdős–Rényi,42,42,False,5,0.0011456047622336873,100,100,0,2.200000000000002,0
Base,Erdős–Rényi,Baseline,Erdős–Rényi,Erdős–Rényi,99,99,True,5,9.9464311160257779e-05,99.599999999999994,98,1.5999999999999943,-0.38521432669452738,1.5999999999999979
Base,Erdős–Rényi,Baseline,Erdős–Rényi,Erdős–Rényi,99,99,False,5,0.0018258208877226512,100,100,0,-0.40000000000000036,0
Base,Erdős–Rényi,LCF-full,Erdős–Rényi,Erdős–Rényi,99,99,True,5,0.01255206465721137,99.599999999999994,87.599999999999994,12,0.25581779171480745,11.049999999999997
Base,Erdős–Rényi,LCF-full,Erdős–Rényi,Erdős–Rényi,99,99,False,5,0.00073759722709654252,100,100,0,1.6000000000000014,0
Base,Erdős–Rényi,LCF-active,Erdős–Rényi,Erdős–Rényi,99,99,True,5,0.012545989751815756,99.599999999999994,87.599999999999994,12,0.25581779171480745,11.049999999999997
Base,Erdős–Rényi,LCF-active,Erdős–Rényi,Erdős–Rényi,99,99,False,5,0.00072709584236141378,100,100,0,1.6000000000000014,0
Base,Erdős–Rényi,EO,Erdős–Rényi,Erdős–Rényi,99,99,True,5,0.020151424989242439,46.800000000000004,44.200000000000003,2.6000000000000014,-4.1729512317747686,4.5499999999999972
Base,Erdős–Rényi,EO,Erdős–Rényi,Erdős–Rényi,99,99,False,5,0.00063090588951453253,100,100,0,-4.1999999999999922,0
Base,Erdős–Rényi,DP,Erdős–Rényi,Erdős–Rényi,99,99,True,5,0.012029921645173969,50.200000000000003,52,1.7999999999999972,-4.9770150168556571,4.1999999999999993
Base,Erdős–Rényi,DP,Erdős–Rényi,Erdős–Rényi,99,99,False,5,0.0011465355460584803,100,100,0,-4.5999999999999925,0
Base,Watts–Strogatz,Baseline,Watts–Strogatz,Watts–Strogatz,2026,2026,True,5,0.0076826063108771381,100,99,1,1.4242424242424279,0.44999999999999929
Base,Watts–Strogatz,Baseline,Watts–Strogatz,Watts–Strogatz,2026,2026,False,5,0.0017887449528553034,100,100,0,1.4000000000000012,0
Base,Watts–Strogatz,LCF-full,Watts–Strogatz,Watts–Strogatz,2026,2026,True,5,0.0035991325378418315,99.400000000000006,84.599999999999994,14.800000000000011,0.47281323877068626,13.050000000000008
Base,Watts–Strogatz,LCF-full,Watts–Strogatz,Watts–Strogatz,2026,2026,False,5,0.00036382627487174801,100,100,0,1.4000000000000012,0
Base,Watts–Strogatz,LCF-active,Watts–Strogatz,Watts–Strogatz,2026,2026,True,5,0.0036097303628921384,99.400000000000006,84.599999999999994,14.800000000000011,0.47281323877068626,13.050000000000008
Base,Watts–Strogatz,LCF-active,Watts–Strogatz,Watts–Strogatz,2026,2026,False,5,0.00035443890094755126,100,100,0,1.4000000000000012,0
Base,Watts–Strogatz,EO,Watts–Strogatz,Watts–Strogatz,2026,2026,True,5,0.0037414466115177625,44.600000000000001,45.200000000000003,0.60000000000000142,-11.597682447716185,2.7499999999999964
Base,Watts–Strogatz,EO,Watts–Strogatz,Watts–Strogatz,2026,2026,False,5,0.00061966067206664643,100,100,0,-6.399999999999995,0
Base,Watts–Strogatz,DP,Watts–Strogatz,Watts–Strogatz,2026,2026,True,5,0.011824771852728622,52.200000000000003,50.600000000000001,1.6000000000000014,-12.324140959823115,2.6500000000000004
Base,Watts–Strogatz,DP,Watts–Strogatz,Watts–Strogatz,2026,2026,False,5,0.0011267977933158146,100,100,0,-5.9999999999999947,0
Base,Watts–Strogatz,Baseline,Watts–Strogatz,Watts–Strogatz,7,7,True,5,0.0037039979116541,100,99.400000000000006,0.59999999999999432,1.8156941649899339,0.25
Base,Watts–Strogatz,Baseline,Watts–Strogatz,Watts–Strogatz,7,7,False,5,0.0017366569094030559,100,100,0,1.8000000000000016,0
Base,Watts–Strogatz,LCF-full,Watts–Strogatz,Watts–Strogatz,7,7,True,5,0.0062836585044860893,100,89,11,1.3730337078651678,9.5999999999999979
Base,Watts–Strogatz,LCF-full,Watts–Strogatz,Watts–Strogatz,7,7,False,5,0.00036410486698146283,100,100,0,3.2000000000000028,0
Base,Watts–Strogatz,LCF-active,Watts–Strogatz,Watts–Strogatz,7,7,True,5,0.006275903701782215,100,89.200000000000003,10.799999999999997,1.3695067264574035,9.399999999999995
Base,Watts–Strogatz,LCF-active,Watts–Strogatz,Watts–Strogatz,7,7,False,5,0.00035525572299954788,100,100,0,3.2000000000000028,0
Base,Watts–Strogatz,EO,Watts–Strogatz,Watts–Strogatz,7,7,True,5,0.026302909010935405,41.799999999999997,45.800000000000004,4.0000000000000071,6.1010008148596917,3.7000000000000011
Base,Watts–Strogatz,EO,Watts–Strogatz,Watts–Strogatz,7,7,False,5,0.0006195651152911541,100,100,0,3.0000000000000027,0
